,page,jumlah_peserta_skb,jumlah_formasi,jumlah_metode_skb,peserta_total,peserta_hadir,peserta_th,hasil_tl,hasil_tms,hasil_tms-1,hasil_aps,lulus_akhir,sisa_formasi,tms1_terbaik,kode_jabatan,jabatan,kode_lokasi,lokasi_formasi,jenis_formasi,pendidikan
398,13150,2,2,0,2,2,0,0,0,1,0,1,1,1,JFDO50002,ASISTEN AHLI,30105728,5728. UNIVERSITAS SYIAH KUALA FAKULTAS EKONOMI DAN BISNIS ,U - UMUM 2,(7100398) S-2 TEKNIK INFORMATIKA / (7160010) S-2 ILMU KOMPUTER
399,13157,2,2,0,2,1,1,0,0,1,0,0,2,1,JFDO50002,ASISTEN AHLI,30102094,2094. POLITEKNIK NEGERI INDRAMAYU JURUSAN TEKNIK INFORMATIKA ,U - UMUM 2,(7102300) S-2 FARMASI / (7199158) S-2 FARMASI KLINIS
400,13168,2,1,0,2,2,0,0,0,2,0,0,1,1,JFDO50002,ASISTEN AHLI,30103573,3573. UNIVERSITAS LAMBUNG MANGKURAT FAKULTAS TEKNIK ,U - UMUM 1,"(7101227) S-2 TEKNIK PERTAMBANGAN / (7199222) S-2 REKAYASA
PERTAMBANGAN"
401,13250,4,4,0,4,4,0,0,0,2,0,2,2,2,JFDO50002,ASISTEN AHLI,30102369,"2369. POLITEKNIK NEGERI MANADO JURUSAN TEKNIK SIPIL 5
",U - UMUM 4,"(7109103) S-2 TEKNIK SIPIL / (7109111) S-2 ARSITEKTUR / (7199203) S-2
TRANSPORTASI"
402,13314,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30102021,2021. POLITEKNIK NEGERI BANYUWANGI JURUSAN TEKNIK MESIN ,U - UMUM 1,(7109105) S-2 TEKNIK KIMIA
403,13334,2,2,0,2,2,0,0,0,1,0,1,1,1,JFDO50002,ASISTEN AHLI,30101952,"1952. POLITEKNIK NEGERI BALI JURUSAN TEKNIK SIPIL 2
",U - UMUM 2,"(7109127) S-2 TEKNIK ARSITEKTUR / (9501399) S-2 TEKNIK SIPIL
KONSENTRASI ARSITEKTUR"
404,13366,6,2,0,6,6,0,0,0,5,0,1,1,1,JFDO50002,ASISTEN AHLI,30105266,5266. UNIVERSITAS RIAU FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN ,U - UMUM 2,(7100042) S-2 BIMBINGAN KONSELING
405,13379,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30106079,"6079. UNIVERSITAS TIMOR FAKULTAS PERTANIAN 1
",U - UMUM 1,(7106051) S-2 AGRIBISNIS / (7199354) S-2 SOSIAL EKONOMI PERTANIAN
406,13417,1,5,0,1,1,0,0,0,1,0,0,5,1,JFDO50002,ASISTEN AHLI,30103145,3145. UNIVERSITAS CENDERAWASIH FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,U - UMUM 5,(7123005) S-2 ILMU PERPUSTAKAAN / (7199947) S-2 PERPUSTAKAAN
407,13422,1,2,0,1,1,0,0,0,1,0,0,2,1,JFDO50002,ASISTEN AHLI,30104965,4965. UNIVERSITAS PATTIMURA FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,U - UMUM 2,(7101601) S-2 ILMU PEMERINTAHAN
